Trace1,
Freq,,Amp,,
            80349894,Hz,              -81.75, dBm,
            80366560,Hz,              -81.58, dBm,
            80383226,Hz,              -81.56, dBm,
            80399892,Hz,              -81.59, dBm,
            80416558,Hz,              -81.55, dBm,
            80433224,Hz,              -81.47, dBm,
            80449890,Hz,              -81.36, dBm,
            80466556,Hz,              -81.27, dBm,
            80483222,Hz,              -81.24, dBm,
            80499888,Hz,              -81.24, dBm,
            80516554,Hz,              -81.24, dBm,
            80533220,Hz,              -81.23, dBm,
            80549886,Hz,              -81.23, dBm,
            80566552,Hz,              -81.32, dBm,
            80583218,Hz,              -81.39, dBm,
            80599884,Hz,              -81.43, dBm,
            80616550,Hz,              -81.40, dBm,
            80633216,Hz,              -81.36, dBm,
            80649882,Hz,              -81.31, dBm,
            80666548,Hz,              -81.16, dBm,
            80683214,Hz,              -80.99, dBm,
            80699880,Hz,              -80.74, dBm,
            80716546,Hz,              -80.45, dBm,
            80733212,Hz,              -80.34, dBm,
            80749878,Hz,              -80.33, dBm,
            80766544,Hz,              -80.37, dBm,
            80783210,Hz,              -80.32, dBm,
            80799876,Hz,              -80.17, dBm,
            80816542,Hz,              -79.94, dBm,
            80833208,Hz,              -79.83, dBm,
            80849874,Hz,              -79.82, dBm,
            80866540,Hz,              -79.98, dBm,
            80883206,Hz,              -80.26, dBm,
            80899872,Hz,              -80.49, dBm,
            80916538,Hz,              -80.54, dBm,
            80933204,Hz,              -80.36, dBm,
            80949870,Hz,              -80.06, dBm,
            80966536,Hz,              -79.73, dBm,
            80983202,Hz,              -79.60, dBm,
            80999868,Hz,              -79.56, dBm,
            81016534,Hz,              -79.42, dBm,
            81033200,Hz,              -79.17, dBm,
            81049866,Hz,              -78.86, dBm,
            81066532,Hz,              -78.60, dBm,
            81083198,Hz,              -78.61, dBm,
            81099864,Hz,              -78.78, dBm,
            81116530,Hz,              -78.92, dBm,
            81133196,Hz,              -78.81, dBm,
            81149862,Hz,              -78.53, dBm,
            81166528,Hz,              -78.04, dBm,
            81183194,Hz,              -77.70, dBm,
            81199860,Hz,              -77.50, dBm,
            81216526,Hz,              -77.33, dBm,
            81233192,Hz,              -77.18, dBm,
            81249858,Hz,              -76.97, dBm,
            81266524,Hz,              -76.73, dBm,
            81283190,Hz,              -76.68, dBm,
            81299856,Hz,              -76.74, dBm,
            81316522,Hz,              -76.70, dBm,
            81333188,Hz,              -76.49, dBm,
            81349854,Hz,              -76.22, dBm,
            81366520,Hz,              -75.93, dBm,
            81383186,Hz,              -75.77, dBm,
            81399852,Hz,              -75.57, dBm,
            81416518,Hz,              -75.12, dBm,
            81433184,Hz,              -74.74, dBm,
            81449850,Hz,              -74.49, dBm,
            81466516,Hz,              -74.43, dBm,
            81483182,Hz,              -74.58, dBm,
            81499848,Hz,              -74.75, dBm,
            81516514,Hz,              -74.89, dBm,
            81533180,Hz,              -74.85, dBm,
            81549846,Hz,              -74.67, dBm,
            81566512,Hz,              -74.34, dBm,
            81583178,Hz,              -74.08, dBm,
            81599844,Hz,              -73.83, dBm,
            81616510,Hz,              -73.48, dBm,
            81633176,Hz,              -73.21, dBm,
            81649842,Hz,              -73.00, dBm,
            81666508,Hz,              -72.81, dBm,
            81683174,Hz,              -72.69, dBm,
            81699840,Hz,              -72.56, dBm,
            81716506,Hz,              -72.43, dBm,
            81733172,Hz,              -72.37, dBm,
            81749838,Hz,              -72.28, dBm,
            81766504,Hz,              -72.06, dBm,
            81783170,Hz,              -71.86, dBm,
            81799836,Hz,              -71.64, dBm,
            81816502,Hz,              -71.37, dBm,
            81833168,Hz,              -71.19, dBm,
            81849834,Hz,              -70.90, dBm,
            81866500,Hz,              -70.35, dBm,
            81883166,Hz,              -69.96, dBm,
            81899832,Hz,              -69.68, dBm,
            81916498,Hz,              -69.48, dBm,
            81933164,Hz,              -69.37, dBm,
            81949830,Hz,              -69.12, dBm,
            81966496,Hz,              -68.60, dBm,
            81983162,Hz,              -68.25, dBm,
            81999828,Hz,              -68.02, dBm,
            82016494,Hz,              -67.79, dBm,
            82033160,Hz,              -67.62, dBm,
            82049826,Hz,              -67.38, dBm,
            82066492,Hz,              -67.13, dBm,
