Trace1,
Freq,,Amp,,
            37000000,Hz,              -84.03, dBm,
            37016666,Hz,              -84.05, dBm,
            37033332,Hz,              -84.05, dBm,
            37049998,Hz,              -84.05, dBm,
            37066664,Hz,              -84.01, dBm,
            37083330,Hz,              -83.98, dBm,
            37099996,Hz,              -83.97, dBm,
            37116662,Hz,              -83.97, dBm,
            37133328,Hz,              -83.99, dBm,
            37149994,Hz,              -84.01, dBm,
            37166660,Hz,              -84.04, dBm,
            37183326,Hz,              -84.05, dBm,
            37199992,Hz,              -84.06, dBm,
            37216658,Hz,              -84.06, dBm,
            37233324,Hz,              -84.05, dBm,
            37249990,Hz,              -84.05, dBm,
            37266656,Hz,              -84.07, dBm,
            37283322,Hz,              -84.10, dBm,
            37299988,Hz,              -84.12, dBm,
            37316654,Hz,              -84.13, dBm,
            37333320,Hz,              -84.10, dBm,
            37349986,Hz,              -84.06, dBm,
            37366652,Hz,              -84.00, dBm,
            37383318,Hz,              -83.96, dBm,
            37399984,Hz,              -83.95, dBm,
            37416650,Hz,              -83.93, dBm,
            37433316,Hz,              -83.90, dBm,
            37449982,Hz,              -83.89, dBm,
            37466648,Hz,              -83.87, dBm,
            37483314,Hz,              -83.85, dBm,
            37499980,Hz,              -83.83, dBm,
            37516646,Hz,              -83.81, dBm,
            37533312,Hz,              -83.81, dBm,
            37549978,Hz,              -83.83, dBm,
            37566644,Hz,              -83.86, dBm,
            37583310,Hz,              -83.89, dBm,
            37599976,Hz,              -83.89, dBm,
            37616642,Hz,              -83.89, dBm,
            37633308,Hz,              -83.89, dBm,
            37649974,Hz,              -83.90, dBm,
            37666640,Hz,              -83.91, dBm,
            37683306,Hz,              -83.91, dBm,
            37699972,Hz,              -83.89, dBm,
            37716638,Hz,              -83.88, dBm,
            37733304,Hz,              -83.88, dBm,
            37749970,Hz,              -83.86, dBm,
            37766636,Hz,              -83.78, dBm,
            37783302,Hz,              -83.68, dBm,
            37799968,Hz,              -83.61, dBm,
            37816634,Hz,              -83.64, dBm,
            37833300,Hz,              -83.70, dBm,
            37849966,Hz,              -83.75, dBm,
            37866632,Hz,              -83.78, dBm,
            37883298,Hz,              -83.78, dBm,
            37899964,Hz,              -83.76, dBm,
            37916630,Hz,              -83.73, dBm,
            37933296,Hz,              -83.72, dBm,
            37949962,Hz,              -83.73, dBm,
            37966628,Hz,              -83.73, dBm,
            37983294,Hz,              -83.73, dBm,
            37999960,Hz,              -83.72, dBm,
            38016626,Hz,              -83.68, dBm,
            38033292,Hz,              -83.65, dBm,
            38049958,Hz,              -83.64, dBm,
            38066624,Hz,              -83.66, dBm,
            38083290,Hz,              -83.68, dBm,
            38099956,Hz,              -83.71, dBm,
            38116622,Hz,              -83.73, dBm,
            38133288,Hz,              -83.73, dBm,
            38149954,Hz,              -83.72, dBm,
            38166620,Hz,              -83.68, dBm,
            38183286,Hz,              -83.63, dBm,
            38199952,Hz,              -83.58, dBm,
            38216618,Hz,              -83.55, dBm,
            38233284,Hz,              -83.57, dBm,
            38249950,Hz,              -83.60, dBm,
            38266616,Hz,              -83.67, dBm,
            38283282,Hz,              -83.73, dBm,
            38299948,Hz,              -83.78, dBm,
            38316614,Hz,              -83.80, dBm,
            38333280,Hz,              -83.77, dBm,
            38349946,Hz,              -83.70, dBm,
            38366612,Hz,              -83.58, dBm,
            38383278,Hz,              -83.43, dBm,
            38399944,Hz,              -83.27, dBm,
            38416610,Hz,              -83.17, dBm,
            38433276,Hz,              -83.17, dBm,
            38449942,Hz,              -83.20, dBm,
            38466608,Hz,              -83.16, dBm,
            38483274,Hz,              -83.08, dBm,
            38499940,Hz,              -83.05, dBm,
            38516606,Hz,              -83.09, dBm,
            38533272,Hz,              -83.14, dBm,
            38549938,Hz,              -83.20, dBm,
            38566604,Hz,              -83.23, dBm,
            38583270,Hz,              -83.23, dBm,
            38599936,Hz,              -83.23, dBm,
            38616602,Hz,              -83.25, dBm,
            38633268,Hz,              -83.27, dBm,
            38649934,Hz,              -83.28, dBm,
            38666600,Hz,              -83.27, dBm,
            38683266,Hz,              -83.22, dBm,
            38699932,Hz,              -83.12, dBm,
            38716598,Hz,              -83.04, dBm,
            38733264,Hz,              -83.05, dBm,
            38749930,Hz,              -83.09, dBm,
            38766596,Hz,              -83.10, dBm,
            38783262,Hz,              -83.05, dBm,
            38799928,Hz,              -82.97, dBm,
            38816594,Hz,              -82.86, dBm,
            38833260,Hz,              -82.83, dBm,
            38849926,Hz,              -82.86, dBm,
            38866592,Hz,              -82.93, dBm,
            38883258,Hz,              -82.98, dBm,
            38899924,Hz,              -82.99, dBm,
            38916590,Hz,              -82.93, dBm,
            38933256,Hz,              -82.84, dBm,
            38949922,Hz,              -82.75, dBm,
            38966588,Hz,              -82.62, dBm,
            38983254,Hz,              -82.55, dBm,
            38999920,Hz,              -82.49, dBm,
            39016586,Hz,              -82.46, dBm,
            39033252,Hz,              -82.51, dBm,
            39049918,Hz,              -82.61, dBm,
            39066584,Hz,              -82.76, dBm,
            39083250,Hz,              -82.85, dBm,
            39099916,Hz,              -82.91, dBm,
            39116582,Hz,              -82.93, dBm,
            39133248,Hz,              -82.85, dBm,
            39149914,Hz,              -82.68, dBm,
            39166580,Hz,              -82.35, dBm,
            39183246,Hz,              -82.03, dBm,
            39199912,Hz,              -81.73, dBm,
            39216578,Hz,              -81.49, dBm,
            39233244,Hz,              -81.47, dBm,
            39249910,Hz,              -81.61, dBm,
            39266576,Hz,              -81.82, dBm,
            39283242,Hz,              -81.84, dBm,
            39299908,Hz,              -81.68, dBm,
            39316574,Hz,              -81.46, dBm,
            39333240,Hz,              -81.36, dBm,
            39349906,Hz,              -81.37, dBm,
            39366572,Hz,              -81.36, dBm,
            39383238,Hz,              -81.26, dBm,
            39399904,Hz,              -81.16, dBm,
            39416570,Hz,              -81.05, dBm,
            39433236,Hz,              -81.00, dBm,
            39449902,Hz,              -81.05, dBm,
            39466568,Hz,              -81.22, dBm,
            39483234,Hz,              -81.36, dBm,
            39499900,Hz,              -81.44, dBm,
            39516566,Hz,              -81.43, dBm,
            39533232,Hz,              -81.33, dBm,
            39549898,Hz,              -81.13, dBm,
            39566564,Hz,              -80.76, dBm,
            39583230,Hz,              -80.46, dBm,
            39599896,Hz,              -80.22, dBm,
            39616562,Hz,              -79.99, dBm,
            39633228,Hz,              -79.91, dBm,
            39649894,Hz,              -79.97, dBm,
            39666560,Hz,              -80.23, dBm,
            39683226,Hz,              -80.48, dBm,
            39699892,Hz,              -80.59, dBm,
            39716558,Hz,              -80.45, dBm,
            39733224,Hz,              -80.16, dBm,
            39749890,Hz,              -80.05, dBm,
            39766556,Hz,              -80.07, dBm,
            39783222,Hz,              -80.13, dBm,
            39799888,Hz,              -80.07, dBm,
            39816554,Hz,              -79.82, dBm,
            39833220,Hz,              -79.62, dBm,
            39849886,Hz,              -79.46, dBm,
            39866552,Hz,              -79.25, dBm,
            39883218,Hz,              -79.04, dBm,
            39899884,Hz,              -78.74, dBm,
            39916550,Hz,              -78.42, dBm,
            39933216,Hz,              -78.39, dBm,
            39949882,Hz,              -78.53, dBm,
            39966548,Hz,              -78.74, dBm,
            39983214,Hz,              -78.78, dBm,
            39999880,Hz,              -78.66, dBm,
            40016546,Hz,              -78.53, dBm,
            40033212,Hz,              -78.46, dBm,
            40049878,Hz,              -78.36, dBm,
            40066544,Hz,              -78.14, dBm,
            40083210,Hz,              -77.90, dBm,
            40099876,Hz,              -77.70, dBm,
            40116542,Hz,              -77.62, dBm,
            40133208,Hz,              -77.67, dBm,
            40149874,Hz,              -77.73, dBm,
            40166540,Hz,              -77.80, dBm,
            40183206,Hz,              -77.81, dBm,
            40199872,Hz,              -77.77, dBm,
            40216538,Hz,              -77.72, dBm,
            40233204,Hz,              -77.75, dBm,
            40249870,Hz,              -77.84, dBm,
            40266536,Hz,              -77.86, dBm,
            40283202,Hz,              -77.75, dBm,
            40299868,Hz,              -77.47, dBm,
            40316534,Hz,              -77.04, dBm,
            40333200,Hz,              -76.79, dBm,
            40349866,Hz,              -76.67, dBm,
            40366532,Hz,              -76.67, dBm,
            40383198,Hz,              -76.80, dBm,
            40399864,Hz,              -76.92, dBm,
            40416530,Hz,              -76.96, dBm,
            40433196,Hz,              -76.92, dBm,
            40449862,Hz,              -76.89, dBm,
            40466528,Hz,              -76.88, dBm,
            40483194,Hz,              -76.91, dBm,
            40499860,Hz,              -76.89, dBm,
            40516526,Hz,              -76.59, dBm,
            40533192,Hz,              -76.17, dBm,
            40549858,Hz,              -75.78, dBm,
            40566524,Hz,              -75.39, dBm,
            40583190,Hz,              -75.13, dBm,
            40599856,Hz,              -74.89, dBm,
            40616522,Hz,              -74.70, dBm,
            40633188,Hz,              -74.69, dBm,
            40649854,Hz,              -74.74, dBm,
            40666520,Hz,              -74.70, dBm,
            40683186,Hz,              -74.61, dBm,
            40699852,Hz,              -74.57, dBm,
            40716518,Hz,              -74.53, dBm,
            40733184,Hz,              -74.50, dBm,
            40749850,Hz,              -74.41, dBm,
            40766516,Hz,              -74.23, dBm,
            40783182,Hz,              -74.08, dBm,
            40799848,Hz,              -73.89, dBm,
            40816514,Hz,              -73.67, dBm,
            40833180,Hz,              -73.57, dBm,
            40849846,Hz,              -73.46, dBm,
            40866512,Hz,              -73.23, dBm,
            40883178,Hz,              -72.98, dBm,
            40899844,Hz,              -72.70, dBm,
            40916510,Hz,              -72.41, dBm,
            40933176,Hz,              -72.30, dBm,
            40949842,Hz,              -72.20, dBm,
            40966508,Hz,              -71.95, dBm,
            40983174,Hz,              -71.73, dBm,
            40999840,Hz,              -71.57, dBm,
            41016506,Hz,              -71.50, dBm,
            41033172,Hz,              -71.55, dBm,
            41049838,Hz,              -71.59, dBm,
            41066504,Hz,              -71.45, dBm,
            41083170,Hz,              -71.11, dBm,
            41099836,Hz,              -70.64, dBm,
            41116502,Hz,              -70.13, dBm,
            41133168,Hz,              -69.94, dBm,
            41149834,Hz,              -69.92, dBm,
            41166500,Hz,              -69.86, dBm,
            41183166,Hz,              -69.74, dBm,
            41199832,Hz,              -69.64, dBm,
            41216498,Hz,              -69.51, dBm,
            41233164,Hz,              -69.41, dBm,
            41249830,Hz,              -69.42, dBm,
            41266496,Hz,              -69.53, dBm,
            41283162,Hz,              -69.60, dBm,
            41299828,Hz,              -69.63, dBm,
            41316494,Hz,              -69.52, dBm,
            41333160,Hz,              -69.35, dBm,
            41349826,Hz,              -69.18, dBm,
            41366492,Hz,              -68.96, dBm,
            41383158,Hz,              -68.76, dBm,
            41399824,Hz,              -68.44, dBm,
            41416490,Hz,              -67.89, dBm,
            41433156,Hz,              -67.55, dBm,
            41449822,Hz,              -67.41, dBm,
            41466488,Hz,              -67.40, dBm,
            41483154,Hz,              -67.43, dBm,
            41499820,Hz,              -67.41, dBm,
            41516486,Hz,              -67.21, dBm,
            41533152,Hz,              -66.91, dBm,
            41549818,Hz,              -66.46, dBm,
            41566484,Hz,              -65.65, dBm,
            41583150,Hz,              -64.83, dBm,
            41599816,Hz,              -63.75, dBm,
            41616482,Hz,              -62.07, dBm,
            41633148,Hz,              -60.61, dBm,
            41649814,Hz,              -58.93, dBm,
            41666480,Hz,              -56.77, dBm,
            41683146,Hz,              -55.36, dBm,
            41699812,Hz,              -54.21, dBm,
            41716478,Hz,              -53.19, dBm,
            41733144,Hz,              -52.86, dBm,
            41749810,Hz,              -52.98, dBm,
            41766476,Hz,              -53.72, dBm,
            41783142,Hz,              -54.68, dBm,
            41799808,Hz,              -55.95, dBm,
            41816474,Hz,              -57.99, dBm,
            41833140,Hz,              -59.66, dBm,
            41849806,Hz,              -61.20, dBm,
            41866472,Hz,              -63.06, dBm,
            41883138,Hz,              -64.23, dBm,
            41899804,Hz,              -65.07, dBm,
            41916470,Hz,              -65.89, dBm,
            41933136,Hz,              -66.33, dBm,
            41949802,Hz,              -66.70, dBm,
            41966468,Hz,              -67.06, dBm,
            41983134,Hz,              -67.15, dBm,
            41999800,Hz,              -67.08, dBm,
            42016466,Hz,              -66.94, dBm,
